time,comp_dis,comp_auto,comp_conn,batt_cap,batt_volt,batt_cur,batt_temp,mas_dn,mas_up,mas_lt,mas_rt,mas_a,mas_b,mas_x,mas_y,mas_lx,mas_ly,mas_rx,mas_ry,imu_cal,imu_hdg,imu_rot,imu_euler_pitch,imu_euler_yaw,imu_euler_roll,imu_acc_x,imu_acc_y,imu_acc_z,gps_x,gps_y,gps_pitch,gps_yaw,gps_roll,gps_hdg,gps_rot,gps_acc_x,gps_acc_y,gps_acc_z,gps_error,gps_gyro_x,gps_gyro_y,gps_gyro_z,left_vel,left_cur,left_pos,left_volt,left_temp,right_vel,right_cur,right_pos,right_volt,right_temp
00001047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.076172,0.039795,-1.005615,232.827042,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00001080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.100098,0.029053,-1.002930,232.970139,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00001100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.085205,0.027100,-1.004883,233.208755,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,35.000000,0.000000,0.000000,0.000000,-6.000000,35.000000
00001120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.093994,0.030518,-1.003906,233.351997,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00001143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.107178,0.035645,-1.004883,233.590874,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00001163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.090576,0.036377,-1.001953,233.734268,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,6.000000,35.000000
00001183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.111328,0.030518,-1.004395,233.973381,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00001206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.109375,0.028809,-1.002197,234.356270,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00001226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.090332,0.029541,-1.003906,234.356270,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00001246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.083984,0.033691,-1.004150,234.739555,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
